AvyYear,YYYY,MM,DD,Location,Trigger,D Size,Setting,State,lat,lon,PrimaryActivity,TravelMode,Killed,Description,Date
2022,2022,5,29,"Mount Meeker, Rocky Mountain National Park",N,3.0,BC,CO,40.25337,-105.600944,Climber,Foot,1,"3 climbers caught, 1 partially buried, 1 injured, 1 buried and killed",2022-05-29
2022,2022,4,25,"Ice Face, southeast of Thompson Pass, Chugach Mountains",AS,2.0,BC,AK,61.1262988,-145.7271624,Mechanized Guiding Client,Ski,1,"1 skier caught, carried over cliff, and killed",2022-04-25
2022,2022,3,19,"North Fork of Fish Creek, near Steamboat Springs",AS,2.0,BC,CO,40.50566,-106.72047,Backcountry Tourer,Ski,1,"1 backcountry skier caught, partially buried-critical, and killed",2022-03-19
2022,2022,3,17,"Pilot Knob, east of Lizard Head Pass",AR,2.5,BC,CO,37.811,-107.838,Backcountry Tourer,Snowboard,1,"1 backcountry snowboarder caught, buried, and killed",2022-03-17
2022,2022,3,17,"Game Creek Drainage, east of Victor Idaho",AS,2.5,BC,WY,43.594646,-111.011139,Backcountry Tourer,Ski,1,"2 skiers caught, 2 fully buried, 1 injured, and 1 killed",2022-03-17
2022,2022,3,12,"South Fork Miner Creek, Sierra Madre Mountains",AM,2.0,BC,WY,41.08325,-106.88938,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",2022-03-12
2022,2022,2,25,Yule Creek,AI,2.0,BC,CO,39.0633427,-107.1758918,Resident,Snowshoe,1,"3 snowshoers caught, 2 partially buried, 1 buried and killed. 2 dogs killed",2022-02-25
2022,2022,2,19,"Miller Mountain, North of Cook City",AV,3.0,BC,MT,45.0466424,-109.9771345,Snowmobiler,Snowbike,1,"1 motorized snowbike rider caught, partially buried-critical, and killed",2022-02-19
2022,2022,2,6,Lionhead area near West Yellowstone,AM,2.0,BC,MT,44.7007794,-111.2909701,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, partially buried-critical, and killed",2022-02-06
2022,2022,1,8,"North Star Mountain, Hoosier Pass",AI,2.0,BC,CO,39.3698477,-106.0733894,Hiker,Snowshoe,2,"2 snowshoers and a dog caught, buried, and killed",2022-01-08
2022,2021,12,27,"Scotch Bonnet Mountain, north of Cooke City",AM,2.5,BC,MT,45.07147,-109.94407,Snowmobiler,Snowmobile,2,"2 snowmobilers caught, buried, and killed",2021-12-27
2022,2021,12,24,"Diamond Peaks, Cameron Pass",AS,2.0,BC,CO,40.5108549,-105.8907319,Backcountry Tourer,Ski,1,"1 backcountry skier caught, fully buried, and killed",2021-12-24
2022,2021,12,17,Relay Ridge near Ryan Peak,AU,2.0,BC,ID,43.7069491,-111.3444239,Hybrid Rider,Snowmobile,2,1 skier and 1 snowmobiler killed,2021-12-17
2022,2021,12,11,"Silver Basin, closed portion of Crystal Mountain ski resort",AS,2.5,SA-closed terrain,WA,46.9037942,-121.4954424,Backcountry Tourer,Ski,1,"6 backcountry tourers caught, 2 partially buried, 4 buried, and 1 killed",2021-12-11
2021,2021,5,13,"Ruth Glacier, Denali National Park and Preserve",N,,BC,AK,62.99264,-150.71404,Climber,Foot,1,"2 climbers caught in serac fall, 1 killed",2021-05-13
2021,2021,3,27,Matanuska Glacier,U,,BC,AK,61.79476,-147.73927,Mechanized Guiding Client,Ski,1,1 heliskier killed,2021-03-27
2021,2021,3,22,Lime Creek south of Edwards,AS,,BC,CO,39.5776,-106.5548,Sidecountry Rider,Ski,1,1 sidecountry skier caught and killed,2021-03-22
2021,2021,3,20,"Frog Lake Cliffs, north of Donner Pass",AF,2.0,BC,CA,39.36713,-120.32926,Snowmobiler,Foot,1,1 snowmobiler caught and killed,2021-03-20
2021,2021,2,27,"Tiger Peak, north of Burke",AM,3.0,BC,ID,47.537,-115.82937,Snowmobiler,Snowmobile,1,"4 snowmobilers caught, 1 buried, 1 buried and killed",2021-02-27
2021,2021,2,22,"Broken Thumb Couloir, Peak 9,975 (25 Short), Grand Teton National Park",AR,2.0,BC,WY,43.69679,-110.79015,Backcountry Tourer,Snowboard,1,1 backcountry tourer caught and killed,2021-02-22
2021,2021,2,20,"Near Sherman Peak, Southeast of Pocatello",U,,BC,ID,42.46526,-111.54934,Snowmobiler,Snowmobile,1,"1 snowmobiler, caught, buried, and killed",2021-02-20
2021,2021,2,20,"Near Castle Lake, Ruby Mountains, Southeast of Elko",U,,BC,NV,40.56855,-115.39873,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 buried and killed, 1 injured",2021-02-20
2021,2021,2,19,"Smiley Creek Drainage, Smoky Mountains",AM,2.5,BC,ID,43.812,-114.84442,Snowmobiler,Snowmobile,1,One snowmobiler killed,2021-02-19
2021,2021,2,18,"Togwotee Pass, WY",AR,2.0,BC,WY,43.75778,-110.06862,Backcountry Tourer,Snowboard,1,1 snowboarder killed,2021-02-18
2021,2021,2,17,"Squaw Creek Drainage, Southeast of Alpine, WY",AM,2.0,BC,WY,43.1507,-110.9939,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried and killed",2021-02-17
2021,2021,2,16,"West of Ruby Mountain, southeast of Rand",AM,3.0,BC,CO,40.3544,-105.96973,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried, 1 buried and killed",2021-02-16
2021,2021,2,14,"Beehive Basin, north of Big Sky Montana",AR,2.5,BC,MT,45.3407,-111.391,Backcountry Tourer,Snowboard,1,"2 splitboarders caught, 1 partially buried and killed",2021-02-14
2021,2021,2,14,"Near Mount Trelease, north of Loveland Pass",AR,3.0,BC,CO,39.6927,-105.8909,Backcountry Tourer,Snowboard,1,"1 backcountry snowboarder caught, partially-buried critical, killed",2021-02-14
2021,2021,2,14,"Pumphouse Lake, southwest of Rollins Pass",AM,2.0,BC,CO,39.93438,-105.68267,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, partially buried-critical, and killed",2021-02-14
2021,2021,2,8,"Knox Creek, Salmon la Sac area, near Cle Elum Lake",AV,3.0,BC,WA,47.37055,-121.11164,Snowmobiler,Snowbike,1,"2 snowbikers caught, 1 buried and killed",2021-02-08
2021,2021,2,6,"Wilson Glade, Mill Creek Canyon",AS,2.5,BC,UT,40.67619,-111.67168,Backcountry Tourer,Ski,4,"7 backcountry tourers caught, 1 partially buried, 2 buried, 4 buried and killed",2021-02-06
2021,2021,2,6,"Wounded Buck Creek, northwest of Wildcat Lake",AM,2.5,BC,MT,48.23555,-113.96937,Snowmobiler,Snowmobile,1,"5 snowmobilers caught, 1 partially buried-critical and killed",2021-02-06
2021,2021,2,4,"Marvin’s West, East Vail backcountry southeast of Vail",AS,2.0,BC,CO,39.6059,-106.2956,Sidecountry Rider,Ski,1,"2 sidecountry skiers caught, 1 buried and killed",2021-02-04
2021,2021,2,3,"Etna Summit, west of Etna",AS,2.0,BC,CA,41.39009,-122.98229,Backcountry Tourer,Ski,1,"2 backcountry tourers caught, 1 partially buried, 1 buried and killed",2021-02-03
2021,2021,2,2,"Bear Mountain, Chugach State Park",U,,BC,AK,61.41102,-149.38629,Climber,Foot,3,"3 climbers caught, buried, and killed",2021-02-02
2021,2021,2,1,"The Nose, Middle Fork Mineral Creek southeast of Ophir",AS,2.5,BC,CO,37.84364,-107.76892,Backcountry Tourer,Ski,3,"4 backcountry skiers caught and buried, 3 killed",2021-02-01
2021,2021,2,1,"Ammonoosuc Ravine, north of Mount Monroe",U,,BC,NH,44.25602,-71.32073,Backcountry Tourer,Ski,1,"1 backcountry skier caught, buried, and killed",2021-02-01
2021,2021,1,30,"Squaretop, Park City Ridgeline",AS,2.0,BC,UT,40.66465,-111.60109,Sidecountry Rider,Ski,1,"1 skier caught, buried, and killed",2021-01-30
2021,2021,1,8,"Dutch Draw, Park City Ridgeline",AR,2.0,BC,UT,40.6529,-111.59156,Sidecountry Rider,Snowboard,1,"1 sidecountry rider caught, buried, and killed",2021-01-08
2021,2020,12,26,"First Creek, north of Berthoud Pass",AS,1.5,BC,CO,39.8261,-105.772,Backcountry Tourer,Ski,1,"1 skier caught, buried, and killed",2020-12-26
2021,2020,12,19,"North Face of Battleship, southeast of Ophir",AS,2.5,BC,CO,37.82931,-107.74661,Backcountry Tourer,Ski,2,"2 backcountry skiers caught, buried, and killed",2020-12-19
2021,2020,12,18,"Near Ohio Pass, Anthracite Range",AS,2.0,BC,CO,38.83428,-107.09508,Backcountry Tourer,Ski,1,"1 backcountry skier caught, buried, and killed",2020-12-18
